,dateAdded,dateUpdated,name,brand,primaryCategories,colors,prices.amountMax,prices.amountMin,prices.availability,prices.color,prices.offer,prices.size
72,2019-05-01T05:09:16Z,2019-05-01T05:09:16Z,Fitflop Womens F-Sporty II Lace Up Frin,FitFlop,Shoes,Urban White,89.99,89.99,TRUE,Urban White,Online only: 31% off,8.5 M US
73,2019-05-01T05:08:57Z,2019-05-01T05:08:57Z,Easy Street Womens Juno Faux Leather An,Easy Street,Shoes,White,346.65,346.65,FALSE,White,Online only,8 M
74,2019-05-01T05:08:57Z,2019-05-01T05:08:57Z,Skechers Women s Mantra Ultra - Forte N,Skechers,Shoes,Black / White,17.97,17.97,TRUE,Black / White,Online only: 74% off,6.5M
75,2019-05-01T05:08:48Z,2019-05-01T05:08:48Z,David Tate Women s LACEY Natural Ballet,David Tate,Shoes,Natural Satin,89.93,89.93,FALSE,Natural Satin,Online only,4
76,2019-05-01T05:08:28Z,2019-05-01T05:08:28Z,Women s Pleaser Beau 608 Wedge Heel,Pleaser,Shoes,Clear/Smoke Synthetic,81.63,81.63,TRUE,Clear/Smoke Synthetic,Online only,5
77,2019-05-01T05:08:27Z,2019-05-01T05:08:27Z,Women s Pleaser Beau 608 Wedge Heel,Pleaser,Shoes,Clear/Smoke Synthetic,59.95,59.95,TRUE,Clear/Smoke Synthetic,Online only,6
78,2019-05-01T05:08:01Z,2019-05-01T05:08:01Z,Asics Women s Gt-1000 4 Silver / Pistac,Asics,Shoes,Silver / Pistachio / Pink Glow,100,100,FALSE,Silver / Pistachio / Pink Glow,Online only,10.5M
79,2019-05-01T05:08:01Z,2019-05-01T05:08:01Z,Asics Women s Gel-Torrance Mysterioso /,Asics,Shoes,Mysterioso / Black / Aluminum,62.29,62.29,FALSE,Mysterioso / Black / Aluminum,Online only,7.5M
80,2019-05-01T05:07:55Z,2019-05-01T05:07:55Z,Alpine Swiss Pierina Womens Ballet Flat,alpine swiss,Shoes,Black Patent,11.99,11.99,FALSE,Black Patent,Online only: 69% off,Size 9
81,2019-05-01T05:07:16Z,2019-05-01T05:07:16Z,Aerosoles Women s Traveler Memory Foam,Aerosoles,Shoes,White,63.19,63.19,TRUE,White,Online only: 20% off,US 8.5W
82,2019-05-01T05:07:12Z,2019-05-01T05:07:12Z,women s carlos by carlos santana alexia,Carlos,Shoes,White,233.25,233.25,TRUE,White,Online only,7
83,2019-05-01T05:07:10Z,2019-05-01T05:07:10Z,Women s Drew Joy,Drew,Shoes,Black Combo,127.96,127.96,TRUE,Black Combo,Online only,10.5
84,2019-05-01T05:07:08Z,2019-05-01T05:07:08Z,City Classified Women s Curvy Round Clo,City Classified,Shoes,Blue,21.99,21.99,TRUE,Blue,Online only,7 BM US
85,2019-05-01T05:07:01Z,2019-05-01T05:07:01Z,FLORAL Gemma Women s Wide Width Evening,Floral,Shoes,Black,49.95,49.95,TRUE,Black,Online only,7
86,2019-05-01T05:06:52Z,2019-05-01T05:06:52Z,Women s Diba True Cuddle Bun Chelsea Bo,Diba,Shoes,White Leather,148.95,148.95,TRUE,White Leather,Online only,8.5
87,2019-05-01T05:06:51Z,2019-05-01T05:06:51Z,Women s Diba True Flying Solo Bootie,Diba True,Shoes,Chocolate Leather,121.33,121.33,TRUE,Chocolate Leather,Online only,8.5
88,2019-05-01T05:06:07Z,2019-05-01T05:06:07Z,PYPE Women Contrast Sole Breathable Mes,Unique Bargains,Shoes,Blue,39.87,39.87,TRUE,Blue,Online only: 50% off,9.5
89,2019-05-01T05:06:02Z,2019-05-01T05:06:02Z,Women s Aerosoles Silver Plush Gladiato,Aerosoles,Shoes,Silver Metallic Faux Leather,57.96,57.96,TRUE,Silver Metallic Faux Leather,Online only,7.5
90,2019-05-01T05:06:01Z,2019-05-01T05:06:01Z,New Balance Women s Wx811 Bm2 Ankle-Hig,New Balance,Shoes,Gg2,47.15,47.15,TRUE,Gg2,Online only: 37% off,5.5M
91,2019-05-01T05:06:01Z,2019-05-01T05:06:01Z,New Franco Sarto Womens 30712L1 Black A,Franco Sarto,Shoes,Gray,20.71,20.71,TRUE,Gray,Online only: 44% off,8.5
92,2019-05-01T05:06:00Z,2019-05-01T05:06:00Z,New Balance WRL420RB: 420 Classic Cover,New Balance,Shoes,Covert Green,30.04,30.04,FALSE,Covert Green,Online only,6.5 BM US Women
93,2019-05-01T05:06:00Z,2019-05-01T05:06:00Z,New Balance Womens Wrl24ta Revlite 24 L,New Balance,Shoes,Tp,22.52,22.52,TRUE,Tp,Online only: 65% off,5W
94,2019-05-01T05:05:56Z,2019-05-01T05:05:56Z,Women s Beacon Shoes Surprise Skimmer,Beacon Shoes,Shoes,Navy Stretch Fabric,49.95,49.95,TRUE,Navy Stretch Fabric,Online only,9.5
95,2019-05-01T05:04:56Z,2019-05-01T05:04:56Z,FLORAL Teagan Women s Wide Width Block,Floral,Shoes,Gold,49.95,49.95,TRUE,Gold,Online only,7.5
96,2019-05-01T05:04:24Z,2019-05-01T05:04:24Z,Women s Canal Sneaker,Emeril Lagasse Footwear,Shoes,Black Leather,49.95,49.95,TRUE,Black Leather,Online only: 23% off,6
97,2019-05-01T05:04:19Z,2019-05-01T05:04:19Z,Women s Diba True In Between Open Toe B,Diba,Shoes,Natural Leather,116.45,116.45,TRUE,Natural Leather,Online only: 22% off,8
98,2019-05-01T05:03:11Z,2019-05-01T05:03:11Z,Dr. Scholl s Womens Svetlana Faux Leath,Dr. Scholl s Shoes,Shoes,Carmel,50.65,50.65,FALSE,Carmel,Online only,9.5 Medium BM
99,2019-05-01T05:02:38Z,2019-05-01T05:02:38Z,Callisto Women s Advisor Camel Pump - 1,Callisto,Shoes,Black,58.93,58.93,TRUE,Black,Online only: 20% off,9.5
100,2019-05-01T05:02:14Z,2019-05-01T05:02:14Z,Decade Suede Tan chestnut Brown Small S,City Classified,Shoes,Tan,36.99,36.99,TRUE,Tan,Online only,9
101,2019-05-01T05:02:13Z,2019-05-01T05:02:13Z,Decade Suede Tan chestnut Brown Small S,City Classified,Shoes,Tan,36.99,36.99,TRUE,Tan,Online only,8.5
102,2019-05-01T05:02:10Z,2019-05-01T05:02:10Z,FLORAL Chelsea Women s Wide Width Eveni,Floral,Shoes,Black,49.95,49.95,TRUE,Black,Online only,6
103,2019-05-01T05:02:01Z,2019-05-01T05:02:01Z,Women s Whiteout Fleck Winter Boot,Bogs,Shoes,Grape Fleck,183.92,183.92,TRUE,Grape Fleck,Online only,8
104,2019-05-01T05:01:55Z,2019-05-01T05:01:55Z,Women s Fergalicious Harding Ankle Boot,Fergalicious,Shoes,Black Polyurethane,69.95,69.95,TRUE,Black Polyurethane,Online only,10
105,2019-05-01T05:01:52Z,2019-05-01T05:01:52Z,Callisto Women s Advisor Camel Pump - 1,Callisto,Shoes,Black,22.99,22.99,TRUE,Black,Online only: 79% off,8M
106,2019-05-01T05:01:50Z,2019-05-01T05:01:50Z,"trotters women s luxury boot, tan/cogna",Trotters,Shoes,Black Suede,100.76,100.76,FALSE,Black Suede,Online only,12
