TIPO,PROVINCIA,ESTADO,CONSTRUCCION,TERRENO,AVALUO ,DESCUENTO,PRECIO DE VENTA
Lote,Guanacaste,USADA,0,952.12,7980247.8,0.45,4389136.29
Lote,Guanacaste,USADA,0,5020.41,25102050,0.45,13806127.5
Lote,Guanacaste,USADA,0,550.62,15417360,0.38,9635850
Lote,Guanacaste,USADA,0,563.6,16908000,0.38,10567500
Lote,Guanacaste,USADA,0,225.27,3059166.6,0.23,2370854.12
Lote,Guanacaste,USADA,0,770,6881568,0.3,4817097.6
Lote,Guanacaste,USADA,0,800,15680000,0.23,12152000
Lote,Guanacaste,USADA,0,3890,28046900,0.23,21736347.5
Lote,Guanacaste,USADA,0,449.96,21463092,0.23,16633896.3
Lote ,Guanacaste,USADA,0,1000,16574653.17,0.23,12845356.21
Lote,Guanacaste,USADA,0,281,2308539.28,0.23,1789117.94
Lote,Guanacaste,USADA,0,230,6660321.44,0.08,6160797.33
Lote ,Heredia,USADA,0,3511,18645211.59,0.23,14450038.98
Lote,Heredia,USADA,0,7997,14653609.74,0.15,12455568.28
Lote,Heredia,USADA,0,8195,19376589.05,0.15,16470100.69
Lote,Limón,USADA,0,1779,17745252.51,0.3,12421676.76
Lote,Limón,USADA,0,546,12419000,0.15,10556150
Lote,Puntarenas,USADA,0,7126,31710243.6,0.6,12684097.44
Lote,Puntarenas,USADA,0,2114,20105820,0,20105820
Lote,Puntarenas,USADA,0,4109,28528196.4,0.6,11411278.56
Lote ,Puntarenas,USADA,1500,5164,256785852.7,0.6,102714341.1
Lote,Puntarenas,USADA,0,5209,43240503.51,0.6,17296201.4
Lote,Puntarenas,USADA,0,771,15752760,0.23,12208389
Lote,Puntarenas,USADA,0,1101,11682000,0.23,9053550
Lote,Puntarenas,USADA,0,2218,24860000,0.23,19266500
Lote,Puntarenas,USADA,0,4924,32332953.6,0.15,27483010.56
Lote,Puntarenas,USADA,0,280,2485840,0.08,2299402
Lote,Puntarenas,USADA,0,459.08,9181600,0.08,8492980
Lote,San José,USADA,0,625,29354875,0.08,27153259.38
Lote,San José,USADA,0,998.69,15412032,0.45,8476617.6
Lote,San José,USADA,0,1328.05,15936600,0.23,12350865
Lote,San José,USADA,0,985.79,182171547.2,0.45,100194351
Lote,San José,USADA,0,3876.58,31269358,0.3,21888550.6
