,DATEADDED,DATEUPDATED,NAME,BRAND,PRIMARYCATEGORIES,COLORS,PRICES.AMOUNTMAX,PRICES.AMOUNTMIN,PRICES.AVAILABILITY,PRICES.COLOR,PRICES.OFFER,PRICES.SIZE
36,2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,MADDEN GIRL WOMENS BARBIEE POINTED TOE,MADDEN GIRL,SHOES,BLACK PARIS,46.92,46.92,TRUE,BLACK PARIS,ONLINE ONLY: 32% OFF,5
37,2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,BRINLEY CO. WOMEN S FAUX SUEDE OPEN TOE,BRINLEY CO.,SHOES,WINE,42.99,42.99,TRUE,WINE,ONLINE ONLY: 43% OFF,9
38,2019-05-01T05:14:41Z,2019-05-01T05:14:41Z,MADDEN GIRL WOMENS BARBIEE POINTED TOE,MADDEN GIRL,SHOES,BLACK PARIS,32.31,32.31,TRUE,BLACK PARIS,ONLINE ONLY: 53% OFF,5.5
39,2019-05-01T05:07:07Z,2019-05-01T05:14:39Z,PYPE WOMEN CONTRAST SOLE BREATHABLE MES,UNIQUE BARGAINS,SHOES,BLACK,39.87,39.87,TRUE,BLACK,ONLINE ONLY: 50% OFF,9.5
40,2019-05-01T05:14:37Z,2019-05-01T05:14:37Z,WOMENS COMFORT SIDE STRAP RIDING BOOT,BRINLEY CO.,SHOES,TAUPE,54.99,54.99,TRUE,TAUPE,WAS 99.99,9
41,2019-05-01T05:14:36Z,2019-05-01T05:14:36Z,NOBLE OUTFITTERS WESTERN BOOTS WOMENS A,NOBLE OUTFITTERS,SHOES,CHARCOAL,124.95,124.95,TRUE,CHARCOAL,ONLINE ONLY,7.5 R
42,2019-05-01T05:14:35Z,2019-05-01T05:14:35Z,NOBLE OUTFITTERS WESTERN BOOTS WOMENS A,NOBLE OUTFITTERS,SHOES,CHARCOAL,124.95,124.95,FALSE,CHARCOAL,ONLINE ONLY,8 R
43,2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,SEVEN DIALS WOMENS SYNC,SEVEN DIALS,SHOES,GOLD/METALLIC/SMOOTH,63.99,63.99,TRUE,GOLD/METALLIC/SMOOTH,ONLINE ONLY,10
44,2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,SEVEN DIALS WOMENS SYNC SPLIT TOE CASUA,SEVEN DIALS,SHOES,LUGGAGE,16.53,16.53,FALSE,LUGGAGE,ONLINE ONLY: 66% OFF,5
45,2019-05-01T05:14:31Z,2019-05-01T05:14:31Z,CITY CLASSIFIED WOMEN S FAUX LEATHER MI,CITY CLASSIFIED,SHOES,BLACK,41.99,41.99,FALSE,BLACK,ONLINE ONLY,8.5 BM US
46,2019-05-01T05:14:31Z,2019-05-01T05:14:31Z,CITY CLASSIFIED WOMEN S FAUX LEATHER MI,CITY CLASSIFIED,SHOES,TAN,41.99,41.99,TRUE,TAN,ONLINE ONLY,5.5 BM US
47,2019-05-01T05:14:20Z,2019-05-01T05:14:20Z,WOMEN S AEROSOLES TRAVELER SLIP-ON,AEROSOLES,SHOES,WHITE,63.19,63.19,TRUE,WHITE,ONLINE ONLY: 20% OFF,US 10.5W
48,2019-05-01T05:00:50Z,2019-05-01T05:14:17Z,WOMEN S CREVO BRITAIN BOOTIE,CREVO,SHOES,BROWN NUBUCK,84.95,84.95,TRUE,BROWN NUBUCK,ONLINE ONLY,6.5
49,2019-05-01T05:14:08Z,2019-05-01T05:14:08Z,"MANTIS BY SODA, WOMEN VINTAGE WESTERN A",SODA,SHOES,BLACK,33.99,33.99,TRUE,BLACK,ONLINE ONLY,US 7.5
50,2019-05-01T05:14:07Z,2019-05-01T05:14:07Z,NEW BALANCE WOMEN S WVNGO BY ANKLE-HIGH,NEW BALANCE,SHOES,BY,67.99,67.99,FALSE,BY,ONLINE ONLY,9M
51,2019-05-01T05:14:00Z,2019-05-01T05:14:00Z,"1-AYDEN BY CITY CLASSIFIED, COMFY FOAM",CITY CLASSIFIED,SHOES,NATURAL BEIGE,27.99,27.99,TRUE,NATURAL BEIGE,ONLINE ONLY,US 8
52,2019-05-01T05:13:54Z,2019-05-01T05:13:54Z,MICHAEL KORS NATASHA SLIDE WOMEN S SLIP,MICHAEL KORS,SHOES,ECRU,39.99,39.99,FALSE,ECRU,ONLINE ONLY: 64% OFF,6 M
53,2019-05-01T05:13:48Z,2019-05-01T05:13:48Z,WOMEN S DIBA TRUE IN BETWEEN OPEN TOE B,DIBA,SHOES,NATURAL LEATHER,116.45,116.45,TRUE,NATURAL LEATHER,ONLINE ONLY: 22% OFF,9
54,2019-05-01T05:13:42Z,2019-05-01T05:13:42Z,5 INCH WOMEN S SEXY KNEE HIGH BOOTS HIG,SUMMITFASHIONS,SHOES,RED,78.89,78.89,TRUE,RED,ONLINE ONLY: 21% OFF,13
55,2019-05-01T05:13:38Z,2019-05-01T05:13:38Z,"SECOND BY SODA, LUG SOLE COMBAT BOOTIE",SODA,SHOES,DARK WINE RED,38,38,TRUE,DARK WINE RED,ONLINE ONLY,US 6.5
56,2019-05-01T05:05:31Z,2019-05-01T05:13:36Z,WOMEN S AEROSOLES TIMES SQUARE TASSEL L,AEROSOLES,SHOES,BLACK SUEDE/CRACKLE LIZARD PRI,47,47,FALSE,BLACK SUEDE/CRACKLE LIZARD PRI,ONLINE ONLY,8.5
57,2019-05-01T05:13:28Z,2019-05-01T05:13:28Z,SOFTWALK WOMENS HAMPSHIRE BLACK SNAKE F,SOFTWALK,SHOES,BROWN PRINTED PYTHON,55.76,55.76,FALSE,BROWN PRINTED PYTHON,ONLINE ONLY,9
58,2019-05-01T05:12:31Z,2019-05-01T05:12:31Z,WOMEN S TROTTERS BOWEN TALL WATERPROOF,TROTTERS,SHOES,BLACK RUBBERIZED PU/BALLISTIC,89.95,89.95,FALSE,BLACK RUBBERIZED PU/BALLISTIC,ONLINE ONLY,12
59,2019-05-01T05:12:07Z,2019-05-01T05:12:07Z,WOMEN S EASY STREET ORIGIN CLOG,EASY STREET,SHOES,BROWN TOOL POLYURETHANE/GORE,71.12,71.12,TRUE,BROWN TOOL POLYURETHANE/GORE,ONLINE ONLY,9.5 N
60,2019-05-01T05:11:53Z,2019-05-01T05:11:53Z,BRECKELLES HEATHER-32 NEW WOMEN PU CRIS,BRECKELLES,SHOES,BROWN,38.89,38.89,TRUE,BROWN,ONLINE ONLY,7.5
61,2019-05-01T05:11:52Z,2019-05-01T05:11:52Z,BRECKELLES RITA-62 NEW WOMEN PU OPEN TO,BRECKELLES,SHOES,TAN,39.99,39.99,FALSE,TAN,ONLINE ONLY,8
62,2019-05-01T05:11:38Z,2019-05-01T05:11:38Z,WOMEN S TROTTERS SHANNON ANKLE BOOT,TROTTERS,SHOES,BLACK LUX SOFT LEATHER,86.28,86.28,TRUE,BLACK LUX SOFT LEATHER,ONLINE ONLY,9.5
63,2019-05-01T05:06:03Z,2019-05-01T05:11:19Z,*5 PUMP W/ CONTRAST PIPING BOW - BLACK/,SALE,SHOES,BLACK/WHITE PATENT,36.29,36.29,FALSE,BLACK/WHITE PATENT,ONLINE ONLY,12
64,2019-05-01T05:11:17Z,2019-05-01T05:11:17Z,STEVE MADDEN WOMEN S MADELENA SUEDE BLA,STEVE MADDEN,SHOES,BLACK,18.95,18.95,FALSE,BLACK,ONLINE ONLY: 79% OFF,6M
65,2019-05-01T05:10:39Z,2019-05-01T05:10:39Z,CALLISTO WOMEN S ADVISOR CAMEL PUMP - 1,CALLISTO,SHOES,BLACK,22.99,22.99,TRUE,BLACK,ONLINE ONLY: 79% OFF,7.5M
66,2019-05-01T05:10:34Z,2019-05-01T05:10:34Z,CALLISTO WOMEN S ADVISOR CAMEL PUMP - 1,CALLISTO,SHOES,CAMEL,46.34,46.34,TRUE,CAMEL,ONLINE ONLY: 37% OFF,8
67,2019-05-01T05:09:31Z,2019-05-01T05:09:31Z,WOMEN S AEROSOLES TRAVELER SLIP-ON,AEROSOLES,SHOES,WHITE,90.03,90.03,TRUE,WHITE,ONLINE ONLY,7
68,2019-05-01T05:09:28Z,2019-05-01T05:09:28Z,BRECKELLES AD94 WOMEN LEATHERETTE DESIG,BRECKELLES,SHOES,BLACK,37.98,37.98,TRUE,BLACK,ONLINE ONLY,6
