cncode,yr,deflator,weight,age,hhsize,male,married,literate,yedu,urban,labor,haccount,hloan_rec,own_house,yhtot,d_labor1,d_labor2,d_labor3,d_age1,d_age2,d_age3,d_age4,yhtot_usd
ALB,2002,0.006499957,412,39,5,1,1,1,8,0,1,,,1,156000,1,0,0,0,1,0,0,1013.993286
ALB,2002,0.006499957,412,46,3,1,1,1,12,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,158,29,3,1,1,1,17,1,1,,,0,498400,1,0,0,0,1,0,0,3239.578369
ALB,2002,0.006499957,241,69,4,1,1,1,,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,93,69,6,0,0,0,,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,274,55,1,0,0,1,12,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,296,59,2,1,1,1,12,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,412,39,6,1,1,1,8,0,1,,,1,300000,1,0,0,0,1,0,0,1949.987061
ALB,2002,0.006499957,158,55,4,1,1,1,17,1,1,,,1,852000,1,0,0,0,0,1,0,5537.963379
ALB,2002,0.006499957,93,37,6,0,1,1,8,0,3,,,1,0,0,0,1,0,1,0,0,0
ALB,2002,0.006499957,158,55,5,1,1,1,17,1,1,,,0,1885000,1,0,0,0,0,1,0,12252.41895
ALB,2002,0.006499957,412,48,4,0,0,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,412,54,3,1,1,1,15,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,93,66,2,1,1,1,4,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,296,43,2,1,1,1,8,1,1,,,0,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,93,31,1,0,0,1,8,0,3,,,1,0,0,0,1,0,1,0,0,0
ALB,2002,0.006499957,412,36,4,1,1,1,8,0,1,,,1,360000,1,0,0,0,1,0,0,2339.984375
ALB,2002,0.006499957,41,55,4,1,1,1,15,1,1,,,1,242000,1,0,0,0,0,1,0,1572.989502
ALB,2002,0.006499957,296,36,3,0,0,1,12,1,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,140,60,4,0,0,1,12,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,275,49,3,1,1,1,17,1,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,275,67,4,0,0,1,15,1,3,,,1,120000,0,0,1,0,0,0,1,779.994812
ALB,2002,0.006499957,140,60,3,1,1,1,17,1,1,,,1,286000,1,0,0,0,0,0,1,1858.987671
ALB,2002,0.006499957,296,53,4,1,1,1,10,1,2,,,1,164000,0,1,0,0,0,1,0,1065.99292
ALB,2002,0.006499957,274,43,4,1,1,1,17,1,1,,,1,382000,1,0,0,0,0,1,0,2482.983398
ALB,2002,0.006499957,93,28,4,1,1,1,15,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,241,37,4,1,1,1,12,0,1,,,0,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,318,61,3,1,1,1,15,1,3,,,1,93000,0,0,1,0,0,0,1,604.4959717
ALB,2002,0.006499957,158,53,2,1,1,1,8,1,1,,,1,156000,1,0,0,0,0,1,0,1013.993286
ALB,2002,0.006499957,241,47,6,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,412,44,7,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,158,63,4,1,1,1,8,1,3,,,1,240000,0,0,1,0,0,0,1,1559.989624
ALB,2002,0.006499957,189,72,9,1,1,1,8,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,143,44,5,1,1,1,0,1,3,,,1,312600,0,0,1,0,0,1,0,2031.886475
ALB,2002,0.006499957,274,76,2,1,1,1,12,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,69,2,1,1,1,4,0,3,,,1,0,0,0,1,0,0,0,1,0
